,Bahan
120,"['ikan bandeng', 'cabai keriting', 'jeruk nipis', 'santan', 'jahe', 'kemiri', 'kunyit', 'kaldu bubuk', 'bawang merah', 'bawang putih']"
121,"['lalap', 'tepung terigu', 'ikan bandeng', 'lengkuas', 'sambal', 'jeruk nipis', 'jahe', 'kunyit', 'bawang putih', 'ketumbar']"
122,"['bubuk', 'daun jeruk', 'lengkuas', 'merica bubuk', 'jahe', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'kaldu sapi', 'daging sapi']"
123,"['kirm', 'jus', 'susu kental manis', 'bubuk', 'jelly', 'mangga', 'sagu mutiara', 'ma', 'manis', 'harum', 'susu evaporasi']"
124,"['telur ayam', 'kelapa', 'bawang', 'santan', 'kemiri', 'kunyit', 'jinten', 'kaldu bubuk', 'bawang merah', 'bawang putih', 'merica', 'ketumbar', 'kental']"
125,"['ikan mas', 'lalap', 'tepung terigu', 'lengkuas', 'sambal', 'jeruk nipis', 'jahe', 'kunyit', 'tomat', 'bawang putih', 'ketumbar']"
126,"['ikan mas', 'cabai rawit merah', 'daun jeruk', 'lengkuas', 'jeruk nipis', 'merica bubuk', 'kecap manis', 'kunyit', 'putih', 'kaldu bubuk', 'bawang merah', 'serai', 'bawang putih']"
127,"['cabai rawit merah', 'kelapa', 'tahu putih', 'daun jeruk', 'lengkuas', 'santan', 'cabai merah', 'kerupuk kulit', 'kaldu bubuk', 'bawang merah', 'bawang putih', 'merah']"
128,"['meses', 'tepung terigu', 'keju', 'telur', 'tepung maizena', 'serbaguna', 'susu', 'tepung beras']"
129,"['tepung panir', 'oreo', 'tepung terigu', 'baking powder']"
130,"['balado', 'keju', 'telur', 'merica bubuk', 'daun bawang', 'tepung tapioka', 'kaldu bubuk', 'sate']"
131,"['cabai rawit merah', 'biar', 'daun jeruk', 'ikan selar', 'jeruk nipis', 'merica bubuk', 'daun', 'kemiri', 'tomat', 'bawang putih', 'bawang merah', 'serai', 'daun kemangi']"
132,"['tepung maizena', 'tepung terigu', 'jeruk nipis', 'merica bubuk', 'ikan nila', 'cabai merah', 'biji', 'timun', 'nanas', 'bawang putih', 'bawang bombay', 'wortel']"
133,"['plain', 'drink', 'susu kental manis', 'coklat bubuk', 'chocolatos', 'susu']"
134,"['sedap', 'jeruk nipis', 'ikan nila', 'santan', 'merica bubuk', 'daun bawang', 'kemiri', 'bawang putih', 'bawang merah', 'ketumbar', 'kental']"
135,"['tahu putih', 'daun salam', 'santan', 'kunyit', 'kemiri', 'jintan', 'kaldu bubuk', 'bawang merah', 'serai', 'bawang putih', 'ketumbar', 'kental']"
136,"['daun jeruk', 'banjar', 'daun salam', 'jeruk nipis', 'ikan kembung', 'kunyit', 'asam kandis', 'cabai', 'bawang putih', 'bawang merah', 'serai', 'tomat', 'merah', 'giling']"
137,"['mentega', 'coklat putih', 'tepung terigu', 'baking soda', 'syrup', 'susu bubuk', 'telur', 'bubuk', 'kayu manis', 'pala bubuk', 'jahe', 'cengkeh', 'segitiga', 'aren']"
138,"['keju cheddar', 'sayur', 'tepung terigu', 'susu kental manis', 'susu bubuk', 'tepung maizena', 'emulsifier', 'susu']"
139,"['daun pandan', 'santan', 'tepung tapioka', 'tepung maizena', 'ubi ungu']"
140,"['kelapa', 'serai', 'telur', 'lengkuas', 'asam jawa', 'putih', 'asam', 'bawang putih', 'bawang merah', 'kulit', 'merah', 'ketumbar']"
141,"['cabai merah keriting', 'ayam', 'asam jawa', 'lengkuas', 'daun salam', 'jeruk nipis', 'kaldu bubuk', 'bawang merah', 'serai', 'bawang putih', 'merah']"
142,"['cabai rawit merah', 'terasi', 'daun kemangi', 'cabai merah keriting', 'daun jeruk', 'limau', 'kacang', 'merah', 'kencur']"
143,"['sayur', 'tepung maizena', 'susu bubuk', 'choco chips', 'tepung panir']"
144,"['terasi', 'cabai merah keriting', 'hokkian', 'telur', 'kecap asin', 'mie', 'merica bubuk', 'kecap manis', 'daun bawang', 'hijau', 'bawang putih', 'bawang merah', 'sawi']"
145,"['ikan mas', 'sedap', 'cabai keriting', 'kacang', 'jeruk nipis', 'santan', 'jahe', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'kental']"
146,"['mentega', 'spaghetti', 'kering', 'tepung terigu', 'parsley', 'merica bubuk', 'brulee', 'bawang putih', 'bawang bombay', 'bolognese', 'daging giling', 'susu', 'saus']"
147,"['kelapa', 'baking soda', 'telur', 'daun pandan', 'merah', 'baking powder', 'tepung beras']"
148,"['cabai rawit merah', 'muda', 'ayam kampung', 'daun jeruk', 'lengkuas', 'jeruk nipis', 'merica bubuk', 'cabai merah', 'kaldu ayam bubuk', 'keriiting', 'putih', 'bawang putih', 'bawang merah', 'serai']"
