,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
51843,bawang putih,susut,6536,11,1,-0.06333009761234386
34678,bawang putih,kikil sapi,6536,22,2,-0.06333009761234386
21316,bawang putih,tulang kambing,6536,11,1,-0.06333009761234386
54178,bawang putih,tahu gembos,6536,11,1,-0.06333009761234386
51925,bawang putih,putiknya,6536,11,1,-0.06333009761234386
2833,bawang putih,pari,6536,11,1,-0.06333009761234386
1059,bawang putih,rebon,6536,11,1,-0.06333009761234386
8527,bawang putih,risotto,6536,11,1,-0.06333009761234386
13270,batu,lada,290,496,2,-0.06366385741963636
56429,kacang,vanili,243,296,1,-0.0637750859387434
46412,cabai,kentang,216,333,1,-0.0637750859387434
53679,daun kemangi,sedap,256,281,1,-0.06388630208744273
31426,ayam,tepung roti,1727,125,3,-0.06419671505500459
1795,hijau,saus sambal,323,223,1,-0.06517828295690987
60844,hijau,kuning telur,323,223,1,-0.06517828295690987
9185,bawang bombay,rebusan,1442,50,1,-0.06616351154717501
4900,bawang,kental,307,470,2,-0.06678745000549063
14039,mentega,udang,263,823,3,-0.06685213246085915
4538,cabai merah keriting,saus tiram,851,933,11,-0.06727624489648198
2198,ayam,kayu manis,1727,377,9,-0.06951587653260446
4376,bubuk,merah,995,1527,21,-0.06963479292793667
22324,margarin,paha ayam,664,109,1,-0.06998421997971212
9961,cabai merah,kaldu,1597,136,3,-0.07027893355708932
13312,batu,bawang merah,290,250,1,-0.0716960291169007
6022,mentega,merica bubuk,263,827,3,-0.07170062680748072
23802,bawang merah,kelapa muda,4710,77,5,-0.07216488470418138
67040,daging sapi,kepala,1037,70,1,-0.07293663855302085
11703,jamur kuping,tepung maizena,78,931,1,-0.0733222922407933
9405,kecap manis,tepung maizena,858,931,11,-0.0733222922407933
9134,jahe,sandung lamur,1371,53,1,-0.07394178138857073
30231,jahe,thyme,1371,53,1,-0.07394178138857073
4937,bawang merah,merica,4710,988,64,-0.0745969896727939
59685,belimbing wuluh,saus tiram,78,933,1,-0.07546821581107008
26865,jamur kuping,saus tiram,78,933,1,-0.07546821581107008
11910,nanas,saus tiram,78,933,1,-0.07546821581107008
13995,ragi,saus tiram,78,933,1,-0.07546821581107008
40979,kangkung,serai,59,2467,2,-0.07550256814926538
22660,bunga lawang,wortel,445,983,6,-0.07727812135948625
6209,jeruk nipis,tauge,836,349,4,-0.07776036244137269
7400,bawang putih,oregano,6536,67,6,-0.07836797497688437
7558,daun salam,teh,1460,50,1,-0.07856890840466275
42546,daun salam,palem,1460,100,2,-0.07856890840466275
2922,bubuk,tepung terigu,995,2348,32,-0.07868020358098783
17065,lengkuas,tahu,575,127,1,-0.07891131553007626
24694,cabai rawit merah,kering,582,251,2,-0.07913039457741089
14891,bubuk kari,jahe,125,1169,2,-0.07942470648855879
47878,ayam,tahu,1727,127,3,-0.08007006421129471
63477,coklat bubuk,vanili,247,296,1,-0.08010197922617214
29626,kacang tanah,saus tomat,284,515,2,-0.08034814653913137
43842,merica,tempe,446,328,2,-0.08053956811839705
15472,daun bawang,mangga,1463,50,1,-0.08062159472240485
22865,cabai merah keriting,jawa,851,86,1,-0.08111361310101638
6251,bawang putih,tahu kulit,6536,56,5,-0.08134860311502225
15226,ayam,kacang tanah,1727,212,5,-0.08164362865872524
8269,batu,santan,290,1768,7,-0.08192920539692965
61801,asam kandis,telur ayam,245,299,1,-0.08205597220954795
6134,merica bubuk,muda,455,322,2,-0.08205597220954795
23579,kentang,merah,288,1527,6,-0.0826155044006579
29575,putih,sawi,263,279,1,-0.08372000227326472
16694,cabai hijau,terasi,248,592,2,-0.08414238876317702
14395,bubuk,tepung beras,995,369,5,-0.08445565703915417
10158,cabai merah,mie kuning,1597,92,2,-0.08487773297824201
6917,jagung,jeruk nipis,252,875,3,-0.08539487347506257
5373,bawang merah,sedap,4710,281,18,-0.08578028672217901
4553,bawang bombay,ikan bandeng,1442,51,1,-0.0859661388433547
13301,bawang bombay,lemak,1442,51,1,-0.0859661388433547
45456,merica,susu bubuk,446,330,2,-0.08661861419477918
42888,kencur,tepung sagu,186,396,1,-0.0875150732418163
26561,bubuk kari,santan,125,1768,3,-0.08765988010591469
9850,kaldu bubuk,nasi putih,638,231,2,-0.08796300158077267
38948,saus tiram,terasi,249,592,2,-0.08816653906290253
20937,margarin,rawit,664,111,1,-0.08816653906290253
33749,baking powder,dada ayam,538,137,1,-0.08819367426404387
49818,biji,tahu,581,127,1,-0.0892920315846371
9161,hitam,jahe,379,1169,6,-0.09003488560057434
33022,bunga lawang,kecap asin,445,332,2,-0.09041625879691799
33049,cabai rawit merah,tahu,582,127,1,-0.09101172246416366
2394,bawang putih,tempe,6536,328,29,-0.09115260321164304
18825,jeruk nipis,margarin,836,619,7,-0.09117792498811898
63321,ceker ayam,kemiri,62,1193,1,-0.09171499541714222
26068,mata,serai,30,2467,1,-0.09230968646564658
25509,bayam,tepung maizena,159,931,2,-0.09237048721148776
16056,kaldu,lengkuas,167,1774,4,-0.09304580244052385
2903,kacang tanah,tepung terigu,284,2348,9,-0.0934230300471083
28340,bawang,tepung tapioka,307,483,2,-0.09407140895395905
37227,cabai hijau,telur ayam,248,299,1,-0.09422650782980309
48303,kecap manis,tepung,858,173,2,-0.09510270169993049
11157,kaldu bubuk,tauge,638,349,3,-0.09515210515324186
23806,jagung,santan,252,1768,6,-0.0956280497550916
11106,cabai merah,sawi,1597,279,6,-0.09568864908245757
8387,hitam,telur,379,2156,11,-0.09600505258707809
11145,kering,tauge,213,349,1,-0.09671827618598675
52311,kulit,tauge,213,349,1,-0.09671827618598675
7270,kacang,mie,243,306,1,-0.09700073356706372
21157,ebi,jeruk nipis,170,875,2,-0.09722933112206543
32795,daging kambing,jeruk nipis,85,875,1,-0.09722933112206543
31329,cream,telur,69,2156,2,-0.09732344434033643
39489,cabai hijau,kencur,248,300,1,-0.09756540909531783
2366,bawang putih,terasi,6536,592,52,-0.0976977411165517
52687,kaldu ayam bubuk,tepung sagu,188,396,1,-0.09821036235856433
36059,merica,tawar,446,167,1,-0.0986669527109537
17758,cokelat,kulit,334,223,1,-0.0986669527109537
3030,merah,tepung tapioka,617,483,4,-0.09894550471220445
17937,jagung,lengkuas,252,1774,6,-0.09901596942702763
10069,bubuk kari,kemiri,125,1193,2,-0.09974716711440643
42310,jagung,vanili,252,296,1,-0.1001427301096182
4607,daun bawang,ikan bandeng,1463,51,1,-0.10042422201858464
11917,daun bawang,kismis,1463,51,1,-0.10042422201858464
20018,hijau,nasi putih,323,231,1,-0.10042422201858464
19394,bubuk,warni,995,75,1,-0.10058503896903777
4547,ikan bandeng,saus tiram,80,933,1,-0.10078602379536002
15680,cengkeh,lengkuas,379,1774,9,-0.10165797888986633
58842,asin,wortel,76,983,1,-0.10169664870763216
36131,jahe,saos,1371,109,2,-0.1018505695056473
89,bawang putih,seledri,6536,366,32,-0.10233225541561308
2330,baking powder,kaldu bubuk,538,556,4,-0.10268668156661075
4400,asam kandis,merah,245,1527,5,-0.10323479160339355
4421,giling,merah,245,1527,5,-0.10323479160339355
5421,daun salam,tahu putih,1460,205,4,-0.10326152099503426
17914,cabai merah keriting,nangka,851,88,1,-0.1041031313257151
37376,daun pisang,kentang,225,333,1,-0.10459708045899851
248,kaldu bubuk,merah,638,1527,13,-0.10480341937602004
28347,giling,mie,245,306,1,-0.10519750077124228
13564,bawang bombay,serbaguna,1442,156,3,-0.10538422470045627
48083,cabai rawit,lunak,1087,69,1,-0.10563757999260337
46606,bakso,muda,233,322,1,-0.10594418738424347
5431,kental,tahu putih,366,205,1,-0.10599750081390892
8029,kering,serai,213,2467,7,-0.1064943214576031
5319,merica bubuk,nanas,455,165,1,-0.1065970811256655
6501,kaldu jamur,kunyit,141,1065,2,-0.10669697623588303
21201,asin,merica,76,988,1,-0.10677022630833345
21454,keju parmesan,tepung terigu,32,2348,1,-0.10740927202184818
50790,keruk,tepung terigu,32,2348,1,-0.10740927202184818
17475,bawang putih,lunak,6536,69,6,-0.10778186018317776
20640,hijau,tepung maizena,323,931,4,-0.10797142765396758
63337,acar,terasi,127,592,1,-0.10804790961673146
14479,beras,kunyit,353,1065,5,-0.1081144109168564
386,bawang,kelapa,307,490,2,-0.10846014640605868
24178,kayu manis,susu,319,708,3,-0.10937709608458922
42859,daun jeruk,teh,1506,50,1,-0.10958960206211944
58699,daun jeruk,has,1506,50,1,-0.10958960206211944
26588,cengkeh,kemiri,379,1193,6,-0.11035734622642202
9516,biji,lada bubuk,581,519,4,-0.11071446717204378
6049,kering,susu,213,708,2,-0.11094326711733404
11744,jahe,nanas,1371,165,3,-0.11098305306891984
37434,buncis,tepung maizena,162,931,2,-0.1110626202236404
30212,paprika,telur,35,2156,1,-0.11171218179243593
3830,kacang kenari,telur,35,2156,1,-0.11171218179243593
32323,cengkeh,kecap manis,379,996,5,-0.1121997385070587
